ID,Educacion,Sexo,Tipo_Empleo,Experiencia,Estado_civil,Edad,Utilizacion_tarjetas,Numero_entidades,Default
Cid00266,Estudios Tecnicos,M,Trabajador Pago Planilla,14,Soltero,25,33,3,0
Cid00267,Estudios Tecnicos,M,Trabajador Pago Planilla,59,Soltero,25,54,3,0
Cid00268,Estudios Tecnicos,M,Trabajador Pago Planilla,20,Soltero,25,14,4,1
Cid00269,Estudios Tecnicos,M,Trabajador Pago Planilla,45,Union Libre,25,11,3,0
Cid00270,Estudios Universitarios,F,Informal,12,Soltero,25,10,5 o +,1
Cid00271,Estudios Universitarios,F,Trabajador Pago Planilla,30,Soltero,25,17,1,0
Cid00272,Estudios Universitarios,F,Trabajador Pago Planilla,31,Casado,25,9,4,0
Cid00273,Estudios Universitarios,M,Trabajador Pago Planilla,22,Soltero,25,110,4,0
Cid00274,Estudios Universitarios,F,Trabajador Pago Planilla,23,Soltero,25,96,5 o +,1
Cid00275,Estudios Universitarios,F,Trabajador Pago Planilla,30,Soltero,25,98,5 o +,0
Cid00276,Estudios Universitarios,F,Trabajador Pago Planilla,18,Soltero,25,81,5 o +,0
Cid00277,Estudios Tecnicos,F,Trabajador Pago Planilla,16,Soltero,25,38,4,1
Cid00278,Estudios Tecnicos,F,Recibo por Honorarios,22,Soltero,25,19,4,0
Cid00279,Estudios Universitarios,F,Trabajador Pago Planilla,24,Soltero,25,32,4,0
Cid00280,Estudios Tecnicos,F,Trabajador Pago Planilla,10,Soltero,25,39,2,0
Cid00281,Estudios Tecnicos,F,Informal,44,Soltero,25,0,5 o +,0
Cid00282,Estudios Tecnicos,F,Trabajador Pago Planilla,27,Union Libre,25,14,4,0
Cid00283,Estudios Universitarios,F,Trabajador Pago Planilla,46,Soltero,25,25,5 o +,0
Cid00284,Estudios Universitarios,F,Trabajador Pago Planilla,39,Soltero,25,0,5 o +,0
Cid00285,Estudios Escolares,F,Informal,143,Soltero,25,17,1,0
Cid00286,Estudios Universitarios,F,Trabajador Pago Planilla,24,Union Libre,25,3,3,0
Cid00287,Estudios Tecnicos,M,Trabajador Pago Planilla,16,Union Libre,25,45,4,1
Cid00288,Estudios Tecnicos,F,Trabajador Pago Planilla,19,Union Libre,25,76,3,0
Cid00289,Estudios Tecnicos,M,Trabajador Pago Planilla,19,Soltero,25,32,4,0
Cid00290,Estudios Universitarios,M,Emprendedor,18,Soltero,25,29,5 o +,0
Cid00291,Estudios Escolares,F,Trabajador Pago Planilla,20,Soltero,25,40,3,0
Cid00292,Estudios Escolares,F,Trabajador Pago Planilla,31,Soltero,25,50,3,0
Cid00293,Estudios Tecnicos,M,Trabajador Pago Planilla,24,Soltero,25,8,3,0
Cid00294,Estudios Universitarios,M,Emprendedor,65,Soltero,25,0,3,0
Cid00295,Estudios Universitarios,F,Trabajador Pago Planilla,38,Soltero,25,7,3,0
Cid00296,Estudios Universitarios,M,Trabajador Pago Planilla,57,Soltero,25,0,2,0
Cid00297,Estudios Universitarios,M,Trabajador Pago Planilla,41,Soltero,25,90,5 o +,0
Cid00298,Estudios Universitarios,M,Trabajador Pago Planilla,121,Soltero,25,99,5 o +,1
Cid00299,Estudios Universitarios,M,Trabajador Pago Planilla,19,Union Libre,25,79,4,0
Cid00300,Estudios Universitarios,F,Recibo por Honorarios,13,Soltero,25,68,5 o +,0
Cid00301,Estudios Universitarios,F,Trabajador Pago Planilla,30,Soltero,25,48,3,0
Cid00302,Estudios Universitarios,F,Trabajador Pago Planilla,42,Soltero,25,47,4,1
Cid00303,Estudios Tecnicos,F,Trabajador Pago Planilla,50,Soltero,25,37,5 o +,0
Cid00304,Estudios Universitarios,M,Recibo por Honorarios,41,Soltero,25,11,5 o +,0
Cid00305,Estudios Universitarios,F,Trabajador Pago Planilla,85,Soltero,25,20,5 o +,0
Cid00306,Estudios Tecnicos,M,Emprendedor,67,Soltero,25,0,5 o +,0
Cid00307,Estudios Universitarios,M,Trabajador Pago Planilla,8,Soltero,25,11,3,0
Cid00308,Estudios Universitarios,M,Trabajador Pago Planilla,92,Soltero,25,17,4,1
Cid00309,Estudios Universitarios,M,Trabajador Pago Planilla,10,Soltero,25,0,4,0
Cid00310,Estudios Universitarios,M,Emprendedor,22,Soltero,25,25,3,0
Cid00311,Estudios Universitarios,M,Trabajador Pago Planilla,13,Soltero,25,9,4,0
Cid00312,Estudios Universitarios,M,Trabajador Pago Planilla,31,Soltero,25,14,5 o +,0
Cid00313,Estudios Tecnicos,F,Trabajador Pago Planilla,50,Soltero,25,20,1,0
Cid00314,Estudios Universitarios,M,Trabajador Pago Planilla,34,Soltero,25,0,5 o +,0
Cid00315,Estudios Universitarios,F,Trabajador Pago Planilla,44,Union Libre,25,0,4,0
Cid00316,Estudios Universitarios,M,Trabajador Pago Planilla,57,Soltero,25,0,4,0
Cid00317,Estudios Universitarios,F,Trabajador Pago Planilla,33,Casado,25,0,5 o +,1
Cid00318,Estudios Tecnicos,F,Trabajador Pago Planilla,27,Soltero,25,76,5 o +,0
Cid00319,Estudios Universitarios,M,Trabajador Pago Planilla,32,Soltero,25,93,3,0
Cid00320,Estudios Universitarios,M,Trabajador Pago Planilla,42,Soltero,25,155,4,0
Cid00321,Estudios Escolares,F,Trabajador Pago Planilla,26,Soltero,25,70,3,1
Cid00322,Estudios Universitarios,F,Trabajador Pago Planilla,26,Soltero,25,68,5 o +,0
Cid00323,Estudios Universitarios,M,Trabajador Pago Planilla,65,Soltero,25,58,4,0
Cid00324,Estudios Tecnicos,M,Trabajador Pago Planilla,81,Casado,25,58,3,0
Cid00325,Estudios Universitarios,M,Trabajador Pago Planilla,8,Casado,25,59,5 o +,0
Cid00326,Estudios Tecnicos,F,Recibo por Honorarios,36,Casado,25,53,4,1
Cid00327,Estudios Tecnicos,M,Recibo por Honorarios,46,Soltero,25,20,3,0
Cid00328,Estudios Tecnicos,M,Fuerzas Armadas,55,Soltero,25,16,5 o +,0
Cid00329,Estudios Escolares,F,Informal,20,Soltero,25,26,5 o +,1
Cid00330,Estudios Universitarios,F,Trabajador Pago Planilla,17,Soltero,25,55,3,1
Cid00331,Estudios Tecnicos,M,Trabajador Pago Planilla,34,Soltero,25,0,5 o +,0
Cid00332,Estudios Universitarios,F,Trabajador Pago Planilla,68,Soltero,25,21,3,0
Cid00333,Estudios Universitarios,F,Trabajador Pago Planilla,7,Soltero,25,0,5 o +,0
Cid00334,Estudios Universitarios,F,Trabajador Pago Planilla,39,Soltero,25,21,4,0
Cid00335,Estudios Tecnicos,F,Trabajador Pago Planilla,26,Soltero,25,6,4,0
Cid00336,Estudios Universitarios,M,Trabajador Pago Planilla,32,Soltero,25,92,4,0
Cid00337,Estudios Escolares,F,Trabajador Pago Planilla,9,Soltero,25,72,3,0
Cid00338,Estudios Universitarios,F,Trabajador Pago Planilla,35,Soltero,25,62,3,0
Cid00339,Estudios Escolares,M,Trabajador Pago Planilla,79,Soltero,25,15,4,0
Cid00340,Estudios Tecnicos,M,Trabajador Pago Planilla,6,Union Libre,25,0,5 o +,0
Cid00341,Estudios Universitarios,F,Trabajador Pago Planilla,9,Soltero,25,0,5 o +,0
Cid00342,Estudios Universitarios,F,Trabajador Pago Planilla,12,Soltero,25,0,4,0
Cid00343,Estudios Universitarios,M,Trabajador Pago Planilla,20,Soltero,25,1,3,0
Cid00344,Estudios Universitarios,M,Trabajador Pago Planilla,16,Soltero,25,6,5 o +,0
Cid00345,Estudios Tecnicos,M,Trabajador Pago Planilla,61,Casado,25,2,3,0
Cid00346,Estudios Universitarios,F,Trabajador Pago Planilla,50,Soltero,25,8,2,0
Cid00347,Estudios Universitarios,F,Emprendedor,33,Casado,25,0,5 o +,0
Cid00348,Estudios Tecnicos,M,Trabajador Pago Planilla,63,Soltero,25,86,5 o +,0
Cid00349,Estudios Universitarios,F,Trabajador Pago Planilla,48,Soltero,25,86,5 o +,0
Cid00350,Estudios Tecnicos,F,Trabajador Pago Planilla,7,Soltero,25,92,5 o +,1
Cid00351,Estudios Universitarios,M,Trabajador Pago Planilla,7,Soltero,25,96,5 o +,1
Cid00352,Estudios Tecnicos,F,Trabajador Pago Planilla,24,Soltero,25,61,4,0
Cid00353,Estudios Tecnicos,M,Trabajador Pago Planilla,33,Soltero,25,62,3,0
Cid00354,Estudios Universitarios,M,Trabajador Pago Planilla,28,Soltero,25,52,5 o +,0
Cid00355,Estudios Universitarios,M,Trabajador Pago Planilla,16,Soltero,25,74,4,0
Cid00356,Estudios Universitarios,F,Trabajador Pago Planilla,26,Union Libre,25,74,5 o +,0
Cid00357,Estudios Universitarios,M,Trabajador Pago Planilla,120,Soltero,25,68,3,0
Cid00358,Estudios Universitarios,F,Emprendedor,79,Soltero,25,66,4,0
Cid00359,Estudios Tecnicos,F,Trabajador Pago Planilla,34,Soltero,25,52,3,0
Cid00360,Estudios Tecnicos,F,Trabajador Pago Planilla,44,Soltero,25,35,4,1
Cid00361,Estudios Universitarios,M,Trabajador Pago Planilla,50,Soltero,25,40,2,0
Cid00362,Estudios Tecnicos,F,Trabajador Pago Planilla,49,Soltero,25,24,3,0
Cid00363,Estudios Universitarios,F,Recibo por Honorarios,34,Soltero,25,11,5 o +,1
Cid00364,Estudios Universitarios,M,Trabajador Pago Planilla,27,Soltero,25,15,4,0
Cid00365,Estudios Universitarios,F,Trabajador Pago Planilla,19,Soltero,25,28,3,0
Cid00366,Estudios Universitarios,M,Trabajador Pago Planilla,47,Soltero,25,17,4,0
Cid00367,Estudios Universitarios,M,Trabajador Pago Planilla,12,Union Libre,25,0,5 o +,0
Cid00368,Estudios Tecnicos,F,Trabajador Pago Planilla,23,Soltero,25,0,3,0
Cid00369,Estudios Tecnicos,M,Fuerzas Armadas,48,Soltero,25,7,4,0
Cid00370,Estudios Tecnicos,F,Trabajador Pago Planilla,7,Casado,25,1,3,0
Cid00371,Estudios Tecnicos,M,Trabajador Pago Planilla,14,Casado,25,0,4,1
Cid00372,Estudios Universitarios,F,Trabajador Pago Planilla,8,Soltero,25,0,3,0
Cid00373,Estudios Universitarios,F,Trabajador Pago Planilla,20,Soltero,25,12,1,0
Cid00374,Estudios Universitarios,F,Trabajador Pago Planilla,53,Soltero,25,7,2,0
Cid00375,Estudios Universitarios,F,Trabajador Pago Planilla,30,Soltero,25,91,5 o +,0
Cid00376,Estudios Universitarios,F,Trabajador Pago Planilla,16,Soltero,25,81,5 o +,1
Cid00377,Estudios Escolares,F,Informal,39,Union Libre,25,43,5 o +,0
Cid00378,Estudios Universitarios,F,Trabajador Pago Planilla,8,Soltero,25,58,5 o +,0
Cid00379,Estudios Universitarios,M,Trabajador Pago Planilla,12,Soltero,25,45,4,0
Cid00380,Estudios Tecnicos,M,Trabajador Pago Planilla,25,Soltero,25,40,4,1
Cid00381,Estudios Universitarios,F,Trabajador Pago Planilla,26,Soltero,25,45,4,0
Cid00382,Estudios Tecnicos,F,Trabajador Pago Planilla,25,Soltero,25,27,5 o +,0
Cid00383,Estudios Universitarios,M,Trabajador Pago Planilla,36,Casado,25,76,2,0
Cid00384,Estudios Escolares,M,Trabajador Pago Planilla,18,Soltero,25,6,4,0
Cid00385,Estudios Universitarios,M,Trabajador Pago Planilla,49,Union Libre,25,14,4,0
Cid00386,Estudios Universitarios,M,Trabajador Pago Planilla,16,Soltero,25,1,5 o +,0
Cid00387,Estudios Universitarios,M,Trabajador Pago Planilla,63,Soltero,25,13,4,0
Cid00388,Estudios Universitarios,M,Trabajador Pago Planilla,23,Union Libre,25,9,3,0
Cid00389,Estudios Universitarios,M,Trabajador Pago Planilla,10,Soltero,25,16,4,1
Cid00390,Estudios Tecnicos,M,Trabajador Pago Planilla,25,Union Libre,25,82,5 o +,1
Cid00391,Estudios Universitarios,M,Informal,75,Soltero,25,85,4,1
Cid00392,Estudios Tecnicos,F,Trabajador Pago Planilla,13,Soltero,25,97,5 o +,0
Cid00393,Estudios Universitarios,F,Trabajador Pago Planilla,22,Soltero,25,94,4,1
Cid00394,Estudios Universitarios,M,Trabajador Pago Planilla,27,Soltero,25,62,5 o +,1
Cid00395,Estudios Tecnicos,F,Trabajador Pago Planilla,62,Soltero,25,39,3,0
Cid00396,Estudios Tecnicos,M,Fuerzas Armadas,121,Soltero,25,17,4,0
